           1 ;  0.55732952026897309       0.99369845233030718        6.2789206690875426E-003   2.2627000556708429E-005   329.38628123406698       0.99029536110546723        9.6528089893387105E-003   5.1829905145475202E-005   2.1164261908166706     
           2 ;   2.6737557110856431       0.99100471656107725        8.9495407170043211E-003   4.5742721869885736E-005   329.42949983273371       0.98613056310822400        1.3764894289292321E-002   1.0454260244181898E-004   2.1158950407885158     
           3 ;   2.6732245610574887       0.98770836099766546        1.2204174644601605E-002   8.7464357685931643E-005   329.48291636761292       0.98101974515102264        1.8780922788729351E-002   1.9933206021437053E-004   2.1152404546628474     
           4 ;   2.6725699749318204       0.98366372373978939        1.6173793729539369E-002   1.6248253062701507E-004   329.54932111916412       0.97472589086375649        2.4905122716747573E-002   3.6898641947159967E-004   2.1144297817589179     
           5 ;   2.6717593020278905       0.97868357094864722        2.1019693275404396E-002   2.9673577590771450E-004   329.63248785651098       0.96694029142007154        3.2388882492650629E-002   6.7082608726366181E-004   2.1134196548171746     
           6 ;   2.6707491750861476       0.97252416021738153        2.6940279294063396E-002   5.3556048851877928E-004   329.73761389651713       0.95725599164251007        4.1540321664294874E-002   1.2036866931917421E-003   2.1121518937189729     
           7 ;   2.6694814139879459       0.96486438293039878        3.4178509891292869E-002   9.5710717827702781E-004   329.87195964014978       0.94513205161467462        5.2733234111501624E-002   2.1347142738321135E-003   2.1105483500998101     
           8 ;   2.6678778703687831       0.95527775172841356        4.3028756813840767E-002   1.6934914577197658E-003   330.04572715318767       0.92984962795970916        6.6411639749461598E-002   3.7387322908495136E-003   2.1085056743402104     
           9 ;   2.6658351946091834       0.94319810303759954        5.3840067603535144E-002   2.9618293588450700E-003   330.27312782697879       0.91046902450418243        8.3082068239330037E-002   6.4489072565200971E-003   2.1058933244811238     
          10 ;   2.6632228447500963       0.92788634922217494        6.7009563651326834E-002   5.1040871264838921E-003   330.57332475220466       0.88581596857283607       0.10327960658363203        1.0904424843576921E-002   2.1025626878304546     
          11 ;   2.6598922080994281       0.90842067891999878        8.2954968772162754E-002   8.6243523078302110E-003   330.97035820134107       0.85455956046683768       0.12748864922783931        1.7951790305380886E-002   2.0983809101715662     
          12 ;   2.6557104304405392       0.88375935987453869       0.10205147840683353        1.4189161718625793E-002   331.49028868930696       0.81548045176000661       0.15600614560984666        2.8513402630217476E-002   2.0933019269344819     
          13 ;   2.6506314472034549       0.85295308978620499       0.12452406139321749        2.2522848820581660E-002   332.15338572290761       0.76800283191446805       0.18877410962987637        4.3223058455739233E-002   2.0874608217146817     
          14 ;   2.6447903419836543       0.81556305998138956       0.15031739171880754        3.4119548299813333E-002   332.96138673151620       0.71286814288427947       0.22528402280139151        6.1847834314425372E-002   3.0867204702899653     
          15 ;   2.6440499905589379       0.81475092327336429       0.15086259113025874        3.4386485596397606E-002   332.97888278273876       0.71170272120287215       0.22604296074930436        6.2254318047936685E-002   3.0865298371761840     
          16 ;   2.6438593574451565       0.81339771719195852       0.15174323458240133        3.4859048225674004E-002   333.00826872668648       0.70976628612283132       0.22725671410180018        6.2976999775501738E-002   3.0862149758029416     
          17 ;   2.6435444960719150       0.81114913195860150       0.15315138551956003        3.5699482521889453E-002   333.05752718808225       0.70656247625357071       0.22917220073490338        6.4265323011682571E-002   3.0856991016157878     
          18 ;   2.6430286218847607       0.80742851676711258       0.15537322538467782        3.7198257848281846E-002   333.13975794772460       0.70129789345061933       0.23214195666033002        6.6560149889235254E-002   3.0848652890120198     
          19 ;   2.6421948092809924       0.80131374229351304       0.15881724186045157        3.9869015846133962E-002   333.27593051140832       0.69274304954467436       0.23663742878868702        7.0619521666856103E-002   3.0835486100493132     
          20 ;   2.6408781303182858       0.79137477995749628       0.16402969811332740        4.4595521929306860E-002   333.49806110373618       0.67909494131997261       0.24322640876362381        7.7678649916659667E-002   3.0815507334869134     
          21 ;   2.6388802537558869       0.77551188362923518       0.17166900450573117        5.2819111865202967E-002   333.85081115669942       0.65796261876976114       0.25248037975144405        8.9557001479096177E-002   3.0787153359473018     
          22 ;   2.6360448562162748       0.75093452296493224       0.18240002398891880        6.6665453046364759E-002   334.38625207959069       0.62673250914578948       0.26480593582995393       0.10846155502461130        3.0750998775129585     
          23 ;   2.6324293977819320       0.71458043487245126       0.19670200048472833        8.8717564643091801E-002   335.14405512843882       0.58357947924163744       0.28031992864146366       0.13610059211731604        3.0711667466023402     
          24 ;   2.6284962668713137       0.66429136475633255       0.21472683001696249       0.12098180522704281        336.11783156064780       0.52884751953142062       0.29907704860055762       0.17207543186851168        3.0676891356811380     
          25 ;   2.6250186559501105       0.60043659813854855       0.23656016278551720       0.16300323907635092        337.23577425938521       0.46550775279612411       0.32189854310756943       0.21259370409688175        3.0651426213294632     
          26 ;   2.6224721415984367       0.52647466239379148       0.26317319490961205       0.21035214269710634        338.39736849411491       0.39756404836057507       0.35153059473048165       0.25090535690961829        3.0630395754822879     
          27 ;   2.6203690957512604       0.44710185963782079       0.29776398781394198       0.25513415254885735        339.55820900876091       0.32745123824339850       0.39351719739403329       0.27903156436336018        3.0598747538672675     
          28 ;   2.6172042741362409       0.36519016425244971       0.34678713248744758       0.28802270326085305        340.80159621460359       0.25485898022840436       0.45628463259753593       0.28885638717498846        3.0535153986342980     
          29 ;   2.6108449189032705       0.28038176340464299       0.42008300519835462       0.29953523139790605        342.36207375285755       0.17884856896373569       0.54866280925635047       0.27248862178100247        3.0420675160121076     
          30 ;   2.5993970362810810       0.19153938267647058       0.52803350852833009       0.28042710879628374        344.55367422692444       0.10432707937174777       0.66979973982813590       0.22587318080139238       0.44267047974039991     
