           1 ;  -7.6742539320874969E-013  -7.1319488897221317E-013   5.8793595492269652E-013   7.1491722741786141E-014   1.3767814114542142E-011  -1.1681364628071896E-012   9.1359139706265251E-013   2.0066683190667569E-013  -9.6966146473098617E-012
           2 ;  -1.0464484129731883E-011  -7.1607183187386629E-013   5.8929729013825184E-013   7.2904253895733744E-014   1.3857866635207489E-011  -1.1641166916558029E-012   9.1617823513165835E-013   2.0150666286671585E-013  -6.6872700645843825E-012
           3 ;  -7.4546954577949352E-012  -7.1585981960063191E-013   5.8899622496838897E-013   7.4614745846778727E-014   1.3733395994638044E-011  -1.1565943588090195E-012   9.1622030770829689E-013   2.0300219073919828E-013  -2.3222384974546982E-012
           4 ;  -3.0896638906655271E-012  -7.1593165599233961E-013   5.8984934777689191E-013   7.6877827700321558E-014   1.3649839067283094E-011  -1.1508789490074712E-012   9.1815957078288557E-013   2.0560833594785687E-013  -1.8718434497181913E-012
           5 ;  -2.6392688429290554E-012  -7.1572111847510638E-013   5.9030680548335827E-013   7.9998217492981014E-014   1.3708387274796149E-011  -1.1452742889231308E-012   9.1941845117633913E-013   2.0986065242532945E-013  -2.7789083398431419E-012
           6 ;  -3.5458896438440885E-012  -7.1284358386019565E-013   5.8800187219635845E-013   8.4367105389298864E-014   1.3634879969427878E-011  -1.1362199850547731E-012   9.1604637689470127E-013   2.1633636167841188E-013   1.7196281878696849E-012
           7 ;   9.5220279465858774E-013  -7.2155560709839670E-013   5.9570054511358057E-013   9.0920324528756625E-014   1.3947914582543509E-011  -1.1459561887772274E-012   9.2849825556485225E-013   2.2671007213358282E-013  -1.5734856841646076E-012
           8 ;  -2.3409110773758398E-012  -7.2420748512184631E-013   5.9543816505033776E-013   9.9904723245403556E-014   1.4139129753320903E-011  -1.1458850125432180E-012   9.2740441151700811E-013   2.4079728563028343E-013  -2.8976807659807953E-012
           9 ;  -3.6651061591915859E-012  -7.2194959880142109E-013   5.8743167371059921E-013   1.1177839347662606E-013   1.4187239984390987E-011  -1.1358532264856765E-012   9.1328785137569144E-013   2.5844561920171303E-013  -3.2754464226994000E-012
          10 ;  -4.0428718159101631E-012  -7.1445085699979827E-013   5.7153651757430606E-013   1.2644276066574872E-013   1.4145480536468218E-011  -1.1117985274486050E-012   8.8396166207351908E-013   2.7753457888464720E-013  -8.7082940452846316E-013
          11 ;  -1.6378107085295636E-012  -7.1739530470809684E-013   5.6348124534152453E-013   1.4429092363736245E-013   1.4313006930951419E-011  -1.0984310058729981E-012   8.6540283026122316E-013   2.9679078180945237E-013  -4.4372244276009799E-012
          12 ;  -5.2046498208116481E-012  -6.7465387668058965E-013   5.1566726630551489E-013   1.5631512784414681E-013   1.3694023958251732E-011  -1.0013768850112956E-012   7.8280446165583392E-013   2.9683619931807516E-013   5.6416322658018241E-012
          13 ;   4.8746509618012830E-012  -7.3757575160528135E-013   5.6351629714972028E-013   1.7843787517072299E-013   1.4447573312874501E-011  -1.0547472780467253E-012   8.4455889525384965E-013   3.0294055626911299E-013  -1.2910717234285607E-012
          14 ;  -2.0589412058496088E-012  -6.8939038576692977E-013   5.3089917381631446E-013   1.6995971949244345E-013   1.2587435147784790E-011  -9.3263824965565916E-013   7.8931629220578728E-013   2.5026964510932513E-013  -6.0292741707679923E-012
          15 ;  -6.7966995639786702E-012  -6.1468843659563217E-013   5.0645741526031803E-013   1.3096085649531178E-013   1.0509075537861101E-011  -8.2718250482931381E-013   7.6537780449447218E-013   1.8734118757567982E-013  -2.0031301058895375E-011
          16 ;  -2.0798726452105167E-011   5.1919385311076946E-014   7.4316095050320461E-014  -8.8734047157528178E-014  -4.5326418775683088E-012   1.2698750748929106E-013   1.6687586937766775E-013  -1.4600577501482249E-013  -6.7333530871055055E-012
          17 ;  -7.5003343911063406E-012   6.5853946883448353E-013  -2.6113399288959388E-013  -3.4101099416653284E-013  -1.9013694792969063E-011   9.8025058565766917E-013  -2.7114294878859246E-013  -5.3525155908749946E-013  -5.3800398248373747E-012
          18 ;  -6.1474652180480679E-012   1.6067895839575142E-012  -7.4453321492171180E-013  -7.8209027348239793E-013  -4.1844022874152415E-011   2.3000519812569973E-012  -8.8374249257526545E-013  -1.2113543251779823E-012  -1.6309678903622699E-012
          19 ;  -2.3988373727830215E-012   3.0078298202501298E-012  -1.3651216446174292E-012  -1.5335105254300252E-012  -7.6246393539462897E-011   4.1968439088905109E-012  -1.6108214622924102E-012  -2.3447082564308848E-012  -6.0722520441628353E-012
          20 ;  -6.8401215265833746E-012   5.3907657277616479E-012  -2.3456052755045873E-012  -2.9003411203543687E-012  -1.3407014177702315E-010   7.3066294610343079E-012  -2.7053131659539489E-012  -4.3170529512708848E-012   3.6228770163581141E-012
          21 ;   2.8558957123572927E-012   8.6644683944262858E-012  -3.3678376968075007E-012  -5.1087775921019876E-012  -2.1232413541288913E-010   1.1252808445786740E-011  -3.6238998936436359E-012  -7.2940619181964391E-012  -1.4364120864198759E-012
          22 ;  -2.2038374796307467E-012   1.3455991655264807E-011  -4.5859364408472648E-012  -8.6303669099856165E-012  -3.1842731872544429E-010   1.6417501134318213E-011  -4.5066206219040140E-012  -1.1516871206908704E-011  -5.1860444267094565E-012
          23 ;  -5.9530257307103352E-012   1.9608715395120144E-011  -5.7212595267601530E-012  -1.3586061925761886E-011  -4.3560440272082139E-010   2.1940682363279162E-011  -5.0270411592187476E-012  -1.6450376745616267E-011  -6.5006718674711712E-012
          24 ;  -7.2676531714719691E-012   2.6083186811741961E-011  -6.3647171080251386E-012  -1.9343286170539990E-011  -5.2554440534629286E-010   2.6237127638806830E-011  -4.9723258867642428E-012  -2.0720420232365643E-011  -4.4939734510813917E-012
          25 ;  -5.2618429335019948E-012   3.1017855141506468E-011  -6.2515481408377288E-012  -2.4303316666021845E-011  -5.4951472000919621E-010   2.7882373229201102E-011  -4.4735789662942155E-012  -2.2769722562682639E-011  -4.2072507975538802E-012
